"created_at","text"
2020-07-24,"uk pm boris johnson tells bbc there are aoevery open questionsa about whether uka cent s coronavirus lockdown came too late"
2020-07-21,"eu leaders agree covid economic recovery package with a bn in grants and loans after fourth night of talks"
2020-07-20,"coronavirus vaccine developed by oxford university appears safe and trains the immune system key early trials show"
2020-07-14,"the uk's economy shrank by in the three months to may as the full impact of lockdown was felt the office for national statistics says"
2020-07-09,"uk high street pharmacy chain boots cutting jobs and closing stores in wake of coronavirus pandemic"
2020-07-09,"bbc to end free licence fee for most over s from august after a twomonth delay due to coronavirus pandemic"
2020-07-07,"brazil's president jair bolsonaro tests positive for coronavirus"
2020-06-29,"stricter lockdown measures for leicester announced including closing of shops and schools as covid cases rise"
2020-06-28,"worldwide coronavirus death toll passes as number of infections exceeds million"
2020-06-25,"royal mail to cut manager jobs in uk as it struggles to deal with effects of coronavirus crisis"
2020-06-23,"aoethis vital change enables the next stage of our plan to ease the lockdowna uk pm boris johnson announces plans to reduce the two metre socialdistancing rule in england to one metre from july latest"
2020-06-23,"a lockdown is being reimposed in a german region after a coronavirus outbreak linked to a meatpacking plant"
2020-06-22,"shielding to end from august for million vulnerable people in england told to stay at home since lockdown began"
2020-06-19,"uk lowers covid alert level in what the health secretary describes as a big moment for the country"
2020-06-18,"bank of england pumps an extra a bn into uk economy to help recovery from 'unprecedented' coronavirus crisis"
2020-06-16,"cheap steroid cuts death rates significantly for seriously ill covid patients in intensive care drug trial finds"
2020-06-16,"number of uk workers on payrolls fell by more than in three months to may as lockdown hit"
2020-06-12,"uk economy shrinks in april the largest monthly contraction on record as full impact of lockdown is felt"
2020-06-08,"uk announces more deaths of people with coronavirus the lowest daily rise since before lockdown on march"
2020-06-05,"people have died with coronavirus in the uk the uk is only the second country to report more than deaths"
2020-05-28,"pm aide dominic cummings' trip to barnard castle might have been minor breach of lockdown rules durham police say"
2020-05-27,"the us becomes the first country in the world to lose lives to the coronavirus pandemic"
2020-05-26,"junior minister douglas ross resigns saying dominic cummings' view on lockdown guidance 'not shared by majority'"
2020-05-25,"dominic cummings uk pma cent s aide says i do not regret what i did as he explains his actions during lockdown"
2020-05-24,"boris johnson backs key aide dominic cummings amid a row over the aidea cent s lockdown travel"
2020-05-23,"pm aide dominic cummings defends a trip away from home during lockdown saying he aoebehaved reasonably and legallya"
2020-05-22,"dominic cummings pm's chief adviser travelled to durham from london in lockdown when he had coronavirus symptoms"
2020-05-19,"number of people in uk claiming unemployment benefit in april soared by to million as coronavirus lockdown began"
2020-05-19,"uk unemployment increased by to million in three months to march as lockdown began"
2020-05-12,"uk scheme to pay wages of workers on leave because of coronavirus extended to october chancellor rishi sunak says"
2020-05-12,"five covid patients die in st petersburg hospital fire after shortcircuit in ventilator russian news agencies"
2020-05-08,"italy's death toll from the coronavirus passes the highest in the eu"
2020-05-08,"us jobless rate rises to as coronavirus pandemic devastates the economy million jobs lost in april"
2020-05-01,"the uk carried out coronavirus tests on the last day of april passing the government's target"
2020-04-27,"boris johnson warns this is the moment of maximum risk as he urges the uk not to lose patience with the lockdown"
2020-04-25,"death toll climbs to as worldwide coronavirus pandemic reaches sombre new milestone"
2020-04-25,"more than people have now died with coronavirus in uk hospitals the fifth country to pass that milestone"
2020-04-24,"number of us coronavirus deaths rises above in world's deadliest outbreak of the disease"
2020-04-23,"coronavirus vaccine used in first european trial was developed in under three months by team at oxford university bbcferguswalsh reports"
2020-04-23,"first european coronavirus vaccine trial underway as two patients injected in oxford uk"
2020-04-21,"president trump says he will sign an executive order to suspend all immigration to the us because of coronavirus"
2020-04-20,"us oil prices turn negative for first time ever as the coronavirus crisis causes global demand to collapse"
2020-04-16,"aoerelaxing any of the measures currently in place would risk damage to both public health and the economya foreign secretary dominic raab says current lockdown measures in uk aoemust remain in place for at least the next three weeksa latest"
2020-04-16,"uk lockdown to be extended for at least the next three weeks foreign secretary dominic raab announces"
2020-04-16,"us jobless claims exceed million as coronavirus lockdown brings economy to virtual halt"
2020-04-15,"close family members will be able to say goodbye to dying relatives in care homes under new uk coronavirus advice"
2020-04-15,"more than people have recovered from coronavirus globally while have died"
2020-04-15,"global confirmed cases of coronavirus reach two million but the true number of infections is likely to be much higher"
2020-04-14,"us to halt funding to world health organization which 'failed in its basic duty' over coronavirus donald trump says"
2020-04-12,"the number of people who have died in hospital with coronavirus in the uk passes after a daily rise of"
2020-04-12,"uk pm boris johnson leaves hospital after being treated for coronavirus but will not immediately return to work"
2020-04-10,"coronavirus death toll now more than globally johns hopkins university"
2020-04-06,"uk prime minister boris johnson who has coronavirus has been taken to intensive care"
2020-04-06,"the open championship has been cancelled because of the coronavirus pandemic more"
2020-04-05,"scotland's chief medical officer resigns after apologising for visiting second home during the coronavirus lockdown"
2020-04-05,"uk prime minister boris johnson admitted to hospital for tests days after testing positive for coronavirus"
2020-04-05,"queen elizabeth ii says the uk will succeed in its fight against coronavirus but may have more still to endure in a rare address to the nation"
2020-04-04,"a fiveyearold child with underlying health conditions is among in uk who died with coronavirus over past day"
2020-04-03,"queen to make televised address to the nation on sunday after further people die with coronavirus in the uk"
2020-04-02,"the united states has registered of the one million cases while italy has the highest death toll more than people have died globally from coronavirus"
2020-04-02,"confirmed global coronavirus cases pass one million after doubling in less than a week"
2020-04-02,"a record million americans filed unemployment claims last week as the us struggles to contain coronavirus"
2020-04-01,"wimbledon tennis tournament cancelled for the first time since world war two because of coronavirus pandemic"
2020-03-31,"a yearold boy who tested positive for coronavirus has died says london's king's college hospital trust"
2020-03-31,"spain sees highest number of fatalities from coronavirus in a single day"
2020-03-30,"uk government announces new plan to fly home tens of thousands of britons stranded by coronavirus pandemic"
2020-03-30,"prince charles is out of selfisolation seven days after it was reported he had tested positive for coronavirus"
2020-03-28,"president trump considering imposing quarantine on new york as coronavirus cases there increase to more than"
2020-03-28,"people have died after testing positive for coronavirus in the uk up from"
2020-03-27,"uk health secretary matt hancock has tested positive for coronavirus and is selfisolating at home with mild symptoms"
2020-03-27,"i have developed mild symptoms of the coronavirus uk pm boris johnson tweets video to say he is selfisolating in downing street but will continue working to lead the national fightback against coronavirus"
2020-03-27,"uk prime minister boris johnson tests positive for coronavirus and is experiencing mild symptoms says no"
2020-03-26,"us now has more confirmed cases of coronavirus than china johns hopkins university figures"
2020-03-26,"number of people in uk who died with coronavirus jumps by more than in a day for first time"
2020-03-26,"selfemployed to be paid of profits up to a a month to help them cope with coronavirus crisis uk says"
2020-03-26,"a record million americans filed for unemployment last week showing economic carnage caused by coronavirus"
2020-03-25,"russia's president putin postpones vote on constitution change allowing him to stay in power due to coronavirus"
2020-03-25,"russia's president putin postpones vote on constitutional reform allowing him to stay in power due to coronavirus"
2020-03-25,"spain's coronavirus death toll exceeds china's becoming second highest in the world"
2020-03-25,"prince of wales tests positive for coronavirus and has mild symptoms but otherwise remains in good health"
2020-03-24,"india's billion people will go into full lockdown in just four hours time in bid to slow coronavirus pm modi"
2020-03-24,"olympics host japan ask for this year's games to be postponed over the coronavirus crisis"
2020-03-22,"australia to close pubs clubs cinemas casinos nightclubs and places of worship to curb spread of coronavirus"
2020-03-21,"italy reports another deaths in past day in world's worst coronavirus crisis"
2020-03-20,"aoewe are collectively telling cafes pubs bars and restaurants to close tonight and not to open tomorrowa boris johnson says physically we need to keep people apart to combat coronavirus takeout services will still be permitted latest"
2020-03-20,"cafes pubs and restaurants must close from tonight except for takeaway food to tackle coronavirus uk pm says"
2020-03-20,"spain becomes fourth country to register more than coronavirus deaths after china italy and iran"
2020-03-19,"coronavirus death toll in italy overtakes china's after rising by to"
2020-03-19,"bank of england cuts interest rates from to in further emergency move sparked by the coronavirus pandemic"
2020-03-19,"eu chief brexit negotiator michel barnier says he has tested positive for coronavirus"
2020-03-18,"coronavirus death toll in uk reaches as more people die in england after testing positive"
2020-03-18,"schools in scotland and wales to close from friday in response to coronavirus crisis"
2020-03-17,"uk chancellor rishi sunak promises unprecedented package of a bn to support companies during coronavirus pandemic with more if needed"
2020-03-17,"all horse racing in britain will be suspended from wednesday until the end of april because of the coronavirus outbreak more here"
2020-03-16,"the grand national has been cancelled because of the coronavirus pandemic more to follow grandnational"
2020-03-16,"aoewhat wea cent re announcing today is a very substantial change in the way we want people to live their livesa uk pm boris johnson says aoei dona cent t think therea cent s really been anything like it in peace timea coronavirusoutbreak"
2020-03-16,"aoewe need people to start working from home and you should avoid pubs clubsa and other such social venues boris johnson says even those with no symptoms must stop aoenonessential contact with others and stop all unnecessary travela coronavirusoutbreak"
2020-03-16,"uk pm says everyone should now avoid social contact with others and stop nonessential travel to fight coronavirus"
2020-03-16,"first patient with coronavirus dies in wales there have now been covid related deaths recorded in every nation in great britain"
2020-03-16,"bbc to delay tv licence fee changes for the over s until august in light of the coronavirus situation"
2020-03-15,"number of uk deaths of people with coronavirus is up to a rise of department of health says"
2020-03-15,"action to isolate over s to shield them from coronavirus is planned in coming weeks uk health secretary confirms"
2020-03-14,"us to extend coronavirus travel ban to uk and ireland from monday"
2020-03-14,"ten more people in uk have died in coronavirus pandemic bringing total to nhs figures show"
2020-03-14,"coronavirus cases in spain rise by to more than public health officials say"
2020-03-13,"us president donald trump declares national emergency to help handle the growing outbreak of coronavirus"
2020-03-13,"april's london marathon postponed because of coronavirus outbreak covid uk"
2020-03-13,"world health organization says that europe is now the epicentre of the covid pandemic"
2020-03-13,"mayoral and local elections in england postponed for one year due to coronavirus outbreak"
2020-03-13,"all uefa competitions including champions league and europa league matches have been postponed because of the coronavirus outbreak"
