"created_at","text"
2020-07-29,"white house press secretary kayleigh mcenany says it is not a dealbreaker when pressed why a coronavirus stimulus bill includes billion for a new fbi building"
2020-07-29,"the us must get control of the covid pandemic or risk seeing deaths skyrocket well into the multiple hundreds of thousands the association of american medical colleges warns"
2020-07-29,"russia aims to approve a coronavirus vaccine within two weeks although testing is not finished and concerns about safety remain"
2020-07-28,"gov andrew cuomo says major league baseball is welcome to come play in new york stadiums noting the state currently has one of the lowest covid infection rates in the us"
2020-07-28,"donald trump jr's twitter account will have some of its functionality limited for hours after he tweeted a video that ran afoul of covid misinformation policies a company spokesperson says"
2020-07-27,"mlb commissioner says the miami marlins will not play their games that were scheduled monday or tuesday after a number of players and coaches on the team tested positive for covid"
2020-07-27,"the university of notre dame is withdrawing from hosting the first presidential debate in september due to concerns about the coronavirus pandemic"
2020-07-27,"tonight's miami marlins home opener against the baltimore orioles has been canceled due to a number of marlins players and staff testing positive for covid multiple reports say"
2020-07-27,"white house national security adviser robert o'brien has tested positive for covid a senior administration official says"
2020-07-27,"the first phase clinical trial of a coronavirus vaccine in the us begins and is expected to enroll about adult volunteers"
2020-07-27,"china reports its highest number of local covid infections since the country brought coronavirus largely under control in march"
2020-07-26,"adm brett giroir who oversees us covid testing says turnaround times are still too long across the country as officials try to get a handle on the pandemic"
2020-07-25,"nearly half of florida's covid deaths are linked to longterm care facilities the state says"
2020-07-25,"hospitalizations because of coronavirus have risen in florida in the past three weeks a state agency says"
2020-07-25,"florida has surpassed new york in total coronavirus cases reporting a total of according to state health agencies"
2020-07-25,"brazilian president jair bolsonaro tested negative for coronavirus on saturday he announced in a tweet"
2020-07-24,"the world health organization says new coronavirus cases were reported in the past day more than in any previous day"
2020-07-24,"for the second straight day california reports a new oneday high number of deaths from coronavirus"
2020-07-24,"at least people got coronavirus after attending a county fair in ohio pickaway county health officials say"
2020-07-24,"france and germany say they will test passengers for coronavirus when they arrive from highrisk countries including the us"
2020-07-24,"dr anthony fauci says he is not eating at restaurants right now and can not think of a reason to get on a transatlantic flight follow live coronavirus updates"
2020-07-23,"president trump announces he is canceling the jacksonville portion of the republican national convention due to the coronavirus outbreak"
2020-07-23,"cdc statisticians expect covid will end up among the top leading causes of death in the nation in"
2020-07-23,"america surpasses million covid cases the most in the world the country added million known cases in just days"
2020-07-23,"a cafeteria worker on white house grounds tests positive for covid as staffers are urged not to panic"
2020-07-22,"the us announces an agreement with pfizer for delivery of million doses of a covid vaccine the drugmaker still needs to complete a large phase clinical trial"
2020-07-22,"hundreds of incarcerated women in texas including nsa leaker reality winner are at the center of one of the largest coronavirus outbreaks at a federal correctional facility in the country"
2020-07-21,"vermont gov phil scott says his state now has the lowest coronavirus case count in the country it had been hawaii follow live updates"
2020-07-21,"the us needs to lower the transmission rate of covid in order to get kids and teachers back in classrooms the surgeon general says"
2020-07-21,"climate activist greta thunberg says she will donate euros a part of a humanitarian prize she won a to help fight the spread of covid in the brazilian amazon"
2020-07-20,"dominican republic president danilo medina declares a state of emergency for the next days due to the covid pandemic"
2020-07-20,"the smithsonian announces that the national zoo in washington dc and national air and space museum's steven f udvarhazy center in virginia will reopen on friday follow live coronavirus updates"
2020-07-20,"preliminary results from a coronavirus vaccine trial involving more than people in the uk suggest it is safe and induces an immune response"
2020-07-20,"golf legend jack nicklaus revealed sunday he and his wife barbara tested positive for covid in march he said he had a sore throat and cough and his wife was asymptomatic"
2020-07-19,"five us navy teams will be deployed sunday to areas in south and southwest texas to help combat the spread of covid gov greg abbott says"
2020-07-19,"mississippi gov tate reeves says the number of coronavirus hospitalizations in the state has nearly doubled in just over three weeks"
2020-07-19,"commerce secretary wilbur ross has been hospitalized a spokesperson said he has minor noncoronavirus related issues"
2020-07-18,"president trump says he will hold telephone town halls instead of large inperson campaign rallies because of the coronavirus pandemic"
2020-07-18,"the us food and drug administration issues first emergency use authorization for covid pool testing"
2020-07-18,"eightyfive infants under the age of months have tested positive for coronavirus in one texas county"
2020-07-17,"floridaa cent s health officials report more than coronavirus related deaths for the fourth consecutive day"
2020-07-17,"an unpublished document prepared for the white house coronavirus task force recommends that states in the virus red zone roll back reopening measures"
2020-07-17,"more than new cases of coronavirus were reported in the us on thursday the most ever"
2020-07-16,"the department of health and human services directed the cdc to reestablish public hospital data for coronavirus on their website after it was criticized because some of the data was removed"
2020-07-16,"some covid hospital data has been removed from the cdc's website following the trump administration's decision to reroute coronavirus information"
2020-07-16,"the republican national committee is planning to hold a scaledback national convention in jacksonville florida next month as the state struggles with a surge in covid cases"
