"created_at","text"
2020-07-28,"death toll from coronavirus in the us has surpassed grim milestone of people according to the latest nbcnews count"
2020-07-28,"after seeing a recordhigh number of coronavirus deaths thursday florida broke its own record again adding"
2020-07-27,"dr joseph costa the chief of critical care at mercy medical center in baltimore where he treated patients battling covid died of the coronavirus saturday"
2020-07-27,"president trumpa cent s national security adviser robert oa cent brien has tested positive for the coronavirus white house says"
2020-07-23,"president trump cancels the jacksonville florida portion of the rnc due to the coronavirus aoei told my team ita cent s time to cancel the jacksonville florida component of the gop conventiona"
2020-07-23,"the us has now seen covid cases as of july at am et deaths have been reported in the us"
2020-07-23,"senate republicans say they have reached a fundamental agreement with white house negotiators on how to move forward with a coronavirus relief bill breaking an intraparty logjam that has stalled negotiations for weeks"
2020-07-23,"the white house is conducting contact tracing after a cafeteria worker tested positive for covid three trump admin officials tell nbcnews"
2020-07-22,"number of confirmed coronavirus cases in california passes new york's total for the most cases in the us california had total cases as of wednesday compared to for new york according to data compiled by nbcnews"
2020-07-20,"largest teachers' union in florida has filed a lawsuit monday against gov desantis over his administration's push to fully reopen all public schools next month a even as coronavirus cases in the state are spiking"
2020-07-18,"federal inmates at texas prison test positive for covid"
2020-07-17,"texas has joined california florida and new york in a group states with confirmed coronavirus cases and the state has shattered its singleday record reporting new cases friday"
2020-07-17,"as of july there've been covid cases amp deaths reported in us states amp territories have seen increase in covid cases in last weeks when compared to weeks before of the states doubled case count in weeks"
2020-07-16,"a day after the state reached a significant milestone in surpassing total coronavirus cases florida health officials have reported another record day for the highest daily increase of coronavirusrelated hospitalizations and deaths on thursday"
2020-07-16,"tokyo has reported a record new coronavirus cases on thursday a the highest number of new cases recorded in one day in japan's capital since the covid pandemic began"
2020-07-15,"florida has now seen more than cases of covid reported since the start of the pandemic more than cases were logged in the last days"
2020-07-13,"california's two largest school districts los angeles and san diego have announced all classes will begin online only in the fall in order to protect students and staff against covid"
2020-07-10,"florida has reported an additional cases of covid on friday bringing the total number of cases to across the state the number of deaths is up from thursday morning"
2020-07-10,"gilead says additional data from a latestage study showed its antiviral remdesivir drug significantly improved clinical recovery in severely ill covid patients v"
2020-07-08,"brooks brothers files for bankruptcy protection aoecovid became immensely disruptive and took a toll on our businessa the yearold company says"
2020-07-08,"us surpasses covid cases"
2020-07-07,"brazilian president bolsonaro says he is tested positive for coronavirus after months of downplaying the disease"
2020-07-06,"atlanta mayor keisha lance bottoms says that she has tested positive for covid despite showing no symptoms"
2020-07-06,"broadway actor nick cordero dies after battle with coronavirus"
2020-07-03,"florida's miamidade county imposes nightly curfew to try and slow the rising number of covid cases in the region the announcement comes the same day that health officials reported more than new cases statewide"
2020-07-01,"house votes to extends small business coronavirus relief program through august bill moves to president trump who is expected to sign the measure"
2020-07-01,"california gov newsom orders counties to shutter restaurants museums bars and other indoor venues as the statea cent s coronavirus caseload continues to surge"
2020-07-01,"internal messages highlight the growing strain that the coronavirus crisis is putting on hospital systems in the houston region where the number of patients hospitalized with covid has nearly quadrupled since memorial day"
2020-07-01,"senate votes to extends small business coronavirus relief program through august bill moves to house"
2020-06-30,"dr fauci on coronavirus cases surging in the us we are now having plus thousand new cases a day i would not be surprised if we go up to a day if this does not turn around and so i am very concerneda"
2020-06-29,"maker of a drug shown to shorten recovery time for severely ill covid patients says it will charge for a typical treatment course for people covered by government health programs in the us and for patients with private insurance"
2020-06-28,"number of confirmed covid cases worldwide has reached m while the global death toll has climbed to nearly according to johns hopkins university data"
2020-06-27,"federal judge orders us immigration and customs enforcement to release children held in the countrya cent s family detention centers by july because of the danger posed by the coronavirus pandemic"
2020-06-26,"the us supreme court has rejected a request by texas democrats to allow all of the statea cent s m registered voters to vote by mail during the coronavirus pandemic"
2020-06-26,"live nbc news special report white house coronavirus task force briefing"
2020-06-26,"florida reports nearly coronavirus cases in a single day a new record miamiherald"
2020-06-26,"nba in tests conducted of nba players on june players have tested positive for the coronavirus any player who tested positive will remain in selfisolation until he satisfies public health protocols for discontinuing isolation and has been cleared by a physician"
2020-06-26,"the us has seen coronavirus deaths reported and cases overall as of june at am et"
2020-06-26,"texas rolls back some reopening measures in effort to contain new coronavirus surge a cent bars ordered to close at noon friday takeout permitted a cent restaurants to operate at capacity down from a cent outdoor gatherings of require local gov't approval"
2020-06-25,"texas to pause reopening as hospitals are inundated with new coronavirus cases gov abbott says"
2020-06-25,"the us saw a record number of new coronavirus cases in a single day with diagnoses reported wednesday according to a tally by nbc news"
2020-06-25,"west virginia gov jim justice has forced out the commissioner of his public health bureau hours after he publicly questioned the accuracy of the statea cent s coronavirus data and detailed growing outbreaks in about a dozen counties"
2020-06-24,"us breaks record for most covid cases recorded in a single day with at least new positives reported wednesday"
2020-06-24,"the trump admin is planning to end its funding and support at the end of the month for coronavirus testing sites located in states illinois new jersey colorado pennsylvania and texas"
2020-06-24,"ny nj ct governors jointly impose day quarantine for visitors entering region from states with high coronavirus infection rates"
2020-06-24,"june there have been a total of covid cases in the us with reported deaths states and territories have seen a greater than increase in covid cases in the last weeks"
2020-06-24,"the major league baseball players association has announced that athletes are returning to training in anticipation of a coronavirusabbreviated game season all remaining issues have been resolved"
2020-06-23,"coronavirus hospitalizations in arizona and texas have hit record numbers as cases continue to surge in states in the south and the west overwhelming medical professionals"
2020-06-23,"washington gov inslee issues statewide mandate requiring face masks in public to slow the spread of the coronavirus mandate will go into effect friday seattletimes"
2020-06-21,"more than people have now died from the coronavirus in the us according to an nbcnews tally which shows that at least m people have been infected across the country"
2020-06-20,"brazila cent s government confirms the country has recorded more than m covid cases"
