"","created_at","text"
"1",2020-07-24,"uk pm boris johnson tells bbc there are very open questions about whether uk's coronavirus lockdown came too late"
"2",2020-07-21,"eu leaders agree covid economic recovery package with bn in grants and loans after fourth night of talks"
"3",2020-07-20,"coronavirus vaccine developed by oxford university appears safe and trains the immune system key early trials show"
"4",2020-07-09,"uk high street pharmacy chain boots cutting jobs and closing stores in wake of coronavirus pandemic"
"5",2020-07-09,"bbc to end free licence fee for most over s from august after a twomonth delay due to coronavirus pandemic"
"6",2020-07-07,"brazil's president jair bolsonaro tests positive for coronavirus"
"7",2020-06-29,"stricter lockdown measures for leicester announced including closing of shops and schools as covid cases rise"
"8",2020-06-28,"worldwide coronavirus death toll passes as number of infections exceeds million"
"9",2020-06-25,"royal mail to cut manager jobs in uk as it struggles to deal with effects of coronavirus crisis"
"10",2020-06-23,"a lockdown is being reimposed in a german region after a coronavirus outbreak linked to a meatpacking plant"
"11",2020-06-19,"uk lowers covid alert level in what the health secretary describes as a big moment for the country"
"12",2020-06-18,"bank of england pumps an extra bn into uk economy to help recovery from 'unprecedented' coronavirus crisis"
"13",2020-06-16,"cheap steroid cuts death rates significantly for seriously ill covid patients in intensive care drug trial finds"
"14",2020-06-08,"uk announces more deaths of people with coronavirus the lowest daily rise since before lockdown on march"
"15",2020-06-05,"people have died with coronavirus in the uk the uk is only the second country to report more than deaths"
"16",2020-05-27,"the us becomes the first country in the world to lose lives to the coronavirus pandemic"
"17",2020-05-22,"dominic cummings pm's chief adviser travelled to durham from london in lockdown when he had coronavirus symptoms"
"18",2020-05-19,"number of people in uk claiming unemployment benefit in april soared by to million as coronavirus lockdown began"
"19",2020-05-12,"uk scheme to pay wages of workers on leave because of coronavirus extended to october chancellor rishi sunak says"
"20",2020-05-12,"five covid patients die in st petersburg hospital fire after shortcircuit in ventilator russian news agencies"
"21",2020-05-08,"italy's death toll from the coronavirus passes the highest in the eu"
"22",2020-05-08,"us jobless rate rises to as coronavirus pandemic devastates the economy million jobs lost in april"
"23",2020-05-01,"the uk carried out coronavirus tests on the last day of april passing the government's target"
"24",2020-04-25,"death toll climbs to as worldwide coronavirus pandemic reaches sombre new milestone"
