"","created_at","text"
"1",2020-07-28,"the coronavirus outbreak is accelerating a push to digitize india's foodrationing system"
"2",2020-07-28,"the number of people looking for employment through nigeria's biggest recruiting website has jumped fivefold since the start of the covid pandemic highlighting the struggle faced by many in africa's largest economy"
"3",2020-07-28,"tokyo confirms about new cases of coronavirus nikkei reports that's more than twice the cases the japanese capital found monday"
"4",2020-07-28,"global potential economic growth is set to drop in coming years due to fallout from the covid pandemic surrounding a rise in unemployment and a cooling of investment by companies according to fitch ratings ltd"
"5",2020-07-28,"gold extended its recordbreaking rally with futures touching an ounce for the first time ever and silver surged as a plunge in the dollar and the fallout from the coronavirus pandemic boost demand for havens"
"6",2020-07-28,"coronavirus latest cases exceed million deaths pass globally australia's largest companies are heading into one of the worst reporting seasons beijing reports one new confirmed case its first in days"
"7",2020-07-28,"beijing reported one new coronavirus case on tuesday its first in days reflecting the fragility of the chinese capital's success at stamping out infections earlier this month"
"8",2020-07-28,"new jersey gym owners arrested after defying governor's covid order"
"9",2020-07-28,"texas adds people to its tally of deaths from covid bringing the total to after state discovers missing data"
"10",2020-07-28,"gop coronavirus bill includes money for washington fbi building"
"11",2020-07-28,"the coronavirus outbreak is accelerating a push to digitize india's foodrationing system"
"12",2020-07-27,"pfizer and biontech said they would begin a laterstage trial for their top coronavirus vaccine candidate with a goal of submitting it for regulatory review as soon as october"
"13",2020-07-27,"mexico's leader began the week by changing the subject away from covid to the pampered excesses of his rivals"
"14",2020-07-27,"as congress debates a new stimulus package covid cases are rising and america's economic recovery is slowing"
"15",2020-07-27,"companies are leaving argentina en masse and it's not just the coronavirus pandemic's fault via bw"
"16",2020-07-27,"kenya extends a night curfew and bans alcohol sales in restaurants after covid cases more than doubled"
"17",2020-07-27,"business is booming for covidprenuers and health workers both praise the suppliers and blame them for price gouging and occasional dishonest dealing"
"18",2020-07-27,"new jersey gym owners arrested after defying governor's covid order"
"19",2020-07-27,"belgium limits leisurely contact with no more than five other people for the next four weeks after an uptick in coronavirus cases"
"20",2020-07-27,"latest white house says nsa adviser robert o'brien who was diagnosed with coronavirus has not seen trump since going on vacation with his family"
"21",2020-07-27,"the miami marlins canceled their home opener after at least players tested positive for covid"
"22",2020-07-27,"the uk confirms its first case of a pet cat testing positive for coronavirus"
"23",2020-07-27,"the uk has fined just three people for breaking quarantine rules in a bid to prevent the spread of coronavirus"
"24",2020-07-27,"latest national security advisor robert o'brien has tested positive for covid he is the closest aid to trump to be diagnosed with the virus"
"25",2020-07-27,"companies are leaving argentina en masse and it's not just the coronavirus pandemic's fault"
"26",2020-07-27,"moderna climbed after getting another round of us funding for a covid vaccine study"
"27",2020-07-27,"breaking trump's national security advisor robert o'brien has tested positive for covid"
"28",2020-07-27,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder says"
"29",2020-07-27,"gold hits a record sen mcconnell expected to unveil the gop coronavirus stimulus plan today coronavirus outbreaks flare up in china and spain subscribe to our things newsletter to see what is moving markets everyday"
"30",2020-07-27,"should you wear a face mask how far apart should you keep from others put your covid knowledge to the test"
"31",2020-07-27,"india's coronavirus epidemic is now growing at the fastest pace in the world infections have increased over the last week to more than million confirmed cases"
"32",2020-07-27,"how do people catch covid here's what experts are saying about the route of contagion"
"33",2020-07-27,"after an outbreak at a farm in bavaria germany is facing very concerning trends of rising coronavirus infections the country's publichealth authority warns"
"34",2020-07-27,"zimbabwe suspends most parliamentary business after two lawmakers tested positive for the coronavirus"
"35",2020-07-27,"european companies are fending off insolvency as support from central banks softens damage from coronavirus lockdowns"
"36",2020-07-27,"total coronavirus infections in indonesia surge past after an easing of socialdistancing rules to allow economic activity"
"37",2020-07-27,"the who unveils its first digital health worker to combat covid misinformation and smoking meet florence"
"38",2020-07-27,"these elite contact tracers show the world how to beat covid"
"39",2020-07-27,"the eu is letting its member countries suspend import duties on medical equipment needed to fight the coronavirus for three more months"
"40",2020-07-27,"european equities extend last week's drop as new virus data suggests setbacks in global efforts to contain the coronavirus pandemic"
"41",2020-07-27,"just in hong kong will ban all dinein services at restaurants require masks outdoors and limit public gatherings to two people as the city's worstever coronavirus outbreak shows no sign of abating"
"42",2020-07-27,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"43",2020-07-27,"the coronavirus pandemic may be a drag on economies across the globe but in japan it's bringing longoverdue change in work habits and tools manual entry fax machines and approval stamps are going away"
"44",2020-07-27,"some of australia's most beleaguered stocks during the coronavirus pandemic could emerge from the crisis as earnings winners according to analysts"
"45",2020-07-27,"india's coronavirus epidemic is now growing at the fastest pace in the world infections have increased over the last week to more than million confirmed cases"
"46",2020-07-27,"china reported the most number of domestic coronavirus infections in more than four months as it battles outbreaks in its western and northeastern regions raising fears of a serious resurgence"
"47",2020-07-27,"coronavirus latest health officials across the globe grapple with second waves of the pandemic australia's victoria state records new covid cases china records the largest number of domestic infections in more than four months"
"48",2020-07-27,"president trump has reset his approach to the coronavirus in a bid to revive sinking poll numbers but with days until the election his campaign may need more than a change in tone to reverse its slide"
"49",2020-07-27,"south china morning post is dropping its free online model after months of political unrest and the coronavirus pandemic hit advertising revenue"
"50",2020-07-27,"vietnamese authorities are warning of new novel coronavirus risks from illegal entries into the country"
"51",2020-07-27,"singapore airlines is poised for another hefty quarterly loss after the coronavirus left it flying a tiny fraction of its usual number of passengers"
"52",2020-07-27,"these elite contact tracers show the world how to beat covid"
"53",2020-07-27,"australia's victoria state reports daily record of new covid cases"
"54",2020-07-27,"the list of us companies that blamed covid for helping to push them into bankruptcy has grown to more than"
"55",2020-07-27,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"56",2020-07-27,"breaking australia's victoria state reports daily record of new coronavirus cases"
"57",2020-07-27,"oil was little changed in asia as signs of an easing in coronavirus cases across the us south were countered by ongoing diplomatic tensions between the trump administration and china"
"58",2020-07-27,"coronavirus outbreak live updates and news for july"
"59",2020-07-26,"at the start of the coronavirus outbreak philippine president rodrigo duterte said the disease would die a natural death five months later the pandemic is raging the economy is facing a deep contraction and his political future could be at stake"
"60",2020-07-26,"the coronavirus pandemic may be a drag on economies across the globe but in japan it's bringing longoverdue change in work habits and tools"
"61",2020-07-26,"president trump has reset his approach to the coronavirus in a bid to revive sinking poll numbers but with days until the election his campaign may need more than a change in tone to reverse its slide"
"62",2020-07-26,"how soon could a covid vaccine actually arrive"
"63",2020-07-26,"how close are we to a treatment or vaccine for coronavirus we're tracking the experimental products drugmakers and doctors are trying via business"
"64",2020-07-26,"these elite contact tracers show the world how to beat covid"
"65",2020-07-26,"should you wear a face mask how far apart should you keep from others put your covid knowledge to the test"
"66",2020-07-26,"the south korean pharmaceutical company backed by bill gates may be capable of producing million coronavirus vaccine kits by next june the microsoft cofounder said"
"67",2020-07-26,"there will be another wave and it will be very serious most of the world may face covid without a vaccine"
