"","created_at","text"
"1",2020-07-25,"brazilian president jair bolsonaro tested negative for coronavirus on saturday he announced in a tweet"
"2",2020-07-24,"the world health organization says new coronavirus cases were reported in the past day more than in any previous day"
"3",2020-07-24,"for the second straight day california reports a new oneday high number of deaths from coronavirus"
"4",2020-07-24,"at least people got coronavirus after attending a county fair in ohio pickaway county health officials say"
"5",2020-07-24,"france and germany say they will test passengers for coronavirus when they arrive from highrisk countries including the us"
"6",2020-07-24,"dr anthony fauci says he is not eating at restaurants right now and can not think of a reason to get on a transatlantic flight follow live coronavirus updates"
"7",2020-07-23,"president trump announces he is canceling the jacksonville portion of the republican national convention due to the coronavirus outbreak"
"8",2020-07-23,"cdc statisticians expect covid will end up among the top leading causes of death in the nation in"
"9",2020-07-23,"america surpasses million covid cases the most in the world the country added million known cases in just days"
"10",2020-07-23,"a cafeteria worker on white house grounds tests positive for covid as staffers are urged not to panic"
"11",2020-07-22,"the us announces an agreement with pfizer for delivery of million doses of a covid vaccine the drugmaker still needs to complete a large phase clinical trial"
"12",2020-07-22,"hundreds of incarcerated women in texas including nsa leaker reality winner are at the center of one of the largest coronavirus outbreaks at a federal correctional facility in the country"
"13",2020-07-21,"vermont gov phil scott says his state now has the lowest coronavirus case count in the country it had been hawaii follow live updates"
"14",2020-07-21,"the us needs to lower the transmission rate of covid in order to get kids and teachers back in classrooms the surgeon general says"
"15",2020-07-21,"climate activist greta thunberg says she will donate euros part of a humanitarian prize she won to help fight the spread of covid in the brazilian amazon"
"16",2020-07-20,"dominican republic president danilo medina declares a state of emergency for the next days due to the covid pandemic"
"17",2020-07-20,"the smithsonian announces that the national zoo in washington dc and national air and space museum's steven f udvarhazy center in virginia will reopen on friday follow live coronavirus updates"
"18",2020-07-20,"preliminary results from a coronavirus vaccine trial involving more than people in the uk suggest it is safe and induces an immune response"
"19",2020-07-20,"golf legend jack nicklaus revealed sunday he and his wife barbara tested positive for covid in march he said he had a sore throat and cough and his wife was asymptomatic"
