"","created_at","text"
"1",2020-07-25,"senior executives and board members at companies developing vaccines and treatments for covid sold more than billion of stock after positive news announcements reaping vast profits as the share prices soared"
"2",2020-07-25,"for those in farflung communities the fastest way to a major hospital is by plane but very few of the airlifted covid patients seemed to be surviving doctors said sometimes their blood oxygen levels would plummet as the plane rose this is what happened to felicindo delgado"
"3",2020-07-25,"in manaus an industrial powerhouse of a city with million people there were times when every covid ward was full and new burial grounds had to be cut out of thick forest its first documented case confirmed on march came from england soon it seemed to be everywhere"
"4",2020-07-25,"the coronavirus has swept through the brazilian amazon devastating the region and those who've depended on its abundance for generations our photographer tyler hicks traveled the river for weeks documenting how the virus spread and the toll it exacted"
"5",2020-07-25,"the us came just short of breaking its singleday record for new coronavirus cases adding more than cases on friday the secondhighest daily total the singleday record set on july is cases read the latest on the coronavirus here"
"6",2020-07-25,"see how our journalist hwise navigated moving halfway across america with her dad sassy cat and jungle of houseplants during the coronavirus pandemic"
"7",2020-07-25,"new the recent coronavirus surge makes the us a big outlier among large highincome countries even sweden where cases surged after the government chose to forgo a strict lockdown has seen cases drop"
"8",2020-07-25,"until recently japan has been a model of covid control most everyone wears masks the death rate has been low but on friday it reported close to new infections a record daily high"
"9",2020-07-25,"promising signs in arizona as covid hospitalizations start to decline what arizona's tenuous virus plateau could teach us"
"10",2020-07-25,"interest in unproven and dangerous coronavirus treatments has been especially high in latin america where many political leaders on the right and left are promoting them even as the virus rages uncontrolled"
"11",2020-07-24,"the women on the us national rowing team want young healthy people to take the coronavirus more seriously they learned that the hard way over a third of the team was infected in march and april according to the team doctor"
"12",2020-07-24,"the coronavirus outbreaks in the us are among the worst in the world regardless of country size and wealth you can see how the us compares with other countries here"
"13",2020-07-24,"the coronavirus outbreak in the us right now rivals any in the world it has been surging since midjune and the country's rate of infection now puts it squarely in the top countries with the worst outbreaks"
"14",2020-07-24,"is it ethical to hire movers are hotels safe should i drive or fly we answered readers' questions about moving during the coronavirus pandemic"
"15",2020-07-24,"smithfield foods one of america's largest meat packing companies defended its pandemic response in a letter to us senators the company has been under scrutiny for refusing to disclose the number of coronavirus cases at its plants"
"16",2020-07-24,"japan reported close to new infections with coronavirus cases surfacing across the country despite the growing outbreaks officials have maintained a nogoingback approach insisting that reopening should continue uninterrupted"
"17",2020-07-24,"months after new york city shut down to combat the coronavirus its vital tourism industry remains paralyzed even as the city struggles to kickstart its economy"
"18",2020-07-24,"the maryland school attended by president trump's son barron will not fully reopen in september out of concern over the coronavirus pandemic"
"19",2020-07-24,"the actor and director mel gibson was hospitalized in april after testing positive for the coronavirus but has since recovered his representative said"
"20",2020-07-24,"children are incorporating covid into pretend play which psychologists say is healthy and normal part of how kids process stressful emotions and experiences some are even offering curbside delivery from their own pretend restaurant"
"21",2020-07-24,"new state unemployment claims increased last week for the first time in nearly months disturbing evidence that the struggling economy is backsliding at a time when coronavirus cases are on the rise"
"22",2020-07-23,"of the top places we found with the most severe coronavirus hospitalization rates were in texas rio grande valley most likely has the worst rate of hospitalization in the us in corpus christi at least people have died from the virus in the past weeks"
"23",2020-07-23,"nearly as many people in the us are currently hospitalized with the coronavirus than at any time in the pandemic we gathered data for nearly metropolitan areas to provide a detailed look at where people are falling seriously ill"
"24",2020-07-23,"breaking news president trump said that he had canceled the portion of the republican national convention slated for jacksonville florida citing the coronavirus"
